walk,6438,1085,-32
walk,6445,1071,-32
walk,6451,1057,-32
walk,6457,1043,-32
walk,6464,1030,-32
walk,6472,1021,-28
walk,6479,1018,0
walk,6490,1012,0
walk,6503,1008,0
oldtrade,spawn
oldtrade,buy,5
walk,6490,1001,0
walk,6476,992,0
walk,6463,985,0
walk,6448,978,0
walk,6435,974,0
walk,6420,970,0
walk,6418,960,0
walk,6418,944,0
walk,6418,929,0
walk,6416,918,0
walk,6403,906,4
walk,6387,892,12
walk,6374,880,0
walk,6356,864,-15
walk,6343,854,-20
walk,6330,839,-42
walk,6319,825,-32
walk,6308,813,-23
walk,6291,798,-36
walk,6279,784,-16
walk,6270,765,-14
walk,6262,746,-19
walk,6255,726,-25
walk,6249,709,-22
walk,6238,693,-15
walk,6226,677,-5
walk,6215,662,-2
walk,6199,643,-36
walk,6187,629,-3
walk,6172,612,27
walk,6157,597,42
walk,6139,582,68
walk,6126,571,105
walk,6113,561,104
walk,6098,549,82
walk,6082,538,108
walk,6066,527,113
walk,6047,515,160
walk,6029,505,202
walk,6010,494,228
walk,5987,482,229
walk,5972,473,241
walk,5951,461,235
walk,5932,451,223
walk,5916,445,253
walk,5905,441,264
walk,5888,433,216
walk,5866,423,210
walk,5849,413,230
walk,5828,401,261
walk,5810,390,292
walk,5789,378,320
walk,5766,364,332
walk,5748,352,357
walk,5728,340,386
walk,5708,333,435
walk,5677,323,481
walk,5660,318,531
walk,5637,312,581
walk,5614,305,614
walk,5595,298,651
walk,5577,294,703
walk,5558,289,767
walk,5537,285,822
walk,5516,280,876
walk,5499,277,920
walk,5483,268,958
walk,5463,256,996
walk,5449,247,1077
walk,5438,240,1144
walk,5419,226,1186
walk,5407,214,1217
walk,5394,201,1225
walk,5377,183,1198
walk,5362,168,1183
walk,5350,155,1189
walk,5337,141,1202
walk,5324,126,1212
walk,5307,108,1200
walk,5292,89,1196
walk,5281,76,1230
walk,5269,61,1261
walk,5256,44,1274
walk,5245,30,1294
walk,5234,17,1288
walk,5220,6,1287
walk,5206,-2,1309
walk,5192,-10,1333
walk,5180,-16,1358
walk,5167,-19,1380
walk,5152,-22,1382
walk,5136,-22,1382
walk,5119,-22,1381
walk,5102,-22,1382
walk,5088,-15,1383
walk,5069,-5,1377
walk,5052,3,1373
walk,5035,11,1369
walk,5019,20,1376
walk,5005,28,1389
walk,4991,36,1390
walk,4975,47,1390
walk,4959,59,1390
walk,4942,71,1384
walk,4929,81,1389
walk,4912,94,1389
walk,4898,105,1389
walk,4885,116,1390
walk,4871,127,1390
walk,4859,136,1389
walk,4847,145,1385
oldtrade,sell
terminate,transport
use,returnscroll
